2025-12-29T07:40:24.078Z -Application Started  
2025-12-29T07:40:24.079Z -Application event occured 
2025-12-29T07:40:27.083Z -Current meory usage: 28.46 
2025-12-29T07:40:30.093Z -Current meory usage: 28.43 
2025-12-29T07:40:33.103Z -Current meory usage: 28.40 
2025-12-29T07:40:36.105Z -Current meory usage: 28.58 
2025-12-29T07:40:39.117Z -Current meory usage: 28.66 
2025-12-29T07:40:42.126Z -Current meory usage: 28.62 
2025-12-29T07:40:45.129Z -Current meory usage: 28.83 
2025-12-29T07:40:48.141Z -Current meory usage: 28.88 
2025-12-29T07:40:51.152Z -Current meory usage: 28.96 
2025-12-29T07:40:54.168Z -Current meory usage: 28.97 
2025-12-29T07:40:57.183Z -Current meory usage: 28.94 
2025-12-29T07:41:00.195Z -Current meory usage: 28.94 
2025-12-29T07:41:03.195Z -Current meory usage: 28.93 
2025-12-29T07:41:06.204Z -Current meory usage: 28.98 
2025-12-29T07:41:09.213Z -Current meory usage: 28.93 
2025-12-29T07:41:12.218Z -Current meory usage: 28.91 
2025-12-29T07:41:15.231Z -Current meory usage: 28.90 
2025-12-29T07:41:18.238Z -Current meory usage: 27.06 
2025-12-29T07:41:21.253Z -Current meory usage: 26.75 
2025-12-29T07:41:24.264Z -Current meory usage: 26.79 
2025-12-29T07:41:27.275Z -Current meory usage: 27.08 
2025-12-29T07:41:30.289Z -Current meory usage: 27.14 
2025-12-29T07:41:33.296Z -Current meory usage: 27.20 
2025-12-29T07:41:36.304Z -Current meory usage: 27.22 
2025-12-29T07:41:39.312Z -Current meory usage: 27.22 
2025-12-29T07:41:42.323Z -Current meory usage: 27.17 
2025-12-29T07:41:45.333Z -Current meory usage: 27.28 
2025-12-29T07:41:48.343Z -Current meory usage: 27.30 
2025-12-29T07:41:51.344Z -Current meory usage: 27.21 
2025-12-29T07:41:54.357Z -Current meory usage: 28.10 
2025-12-29T07:41:57.371Z -Current meory usage: 28.20 
2025-12-29T07:42:00.382Z -Current meory usage: 28.21 
2025-12-29T07:42:03.391Z -Current meory usage: 28.19 
2025-12-29T07:42:06.398Z -Current meory usage: 28.02 
2025-12-29T07:42:09.398Z -Current meory usage: 28.12 
2025-12-29T07:42:12.411Z -Current meory usage: 28.19 
2025-12-29T07:42:15.421Z -Current meory usage: 28.16 
2025-12-29T07:42:18.425Z -Current meory usage: 28.12 
2025-12-29T07:42:21.434Z -Current meory usage: 28.25 
2025-12-29T07:42:24.441Z -Current meory usage: 28.27 
2025-12-29T07:42:27.451Z -Current meory usage: 28.24 
2025-12-29T07:42:30.461Z -Current meory usage: 28.24 
2025-12-29T07:42:33.468Z -Current meory usage: 28.27 
2025-12-29T07:42:36.476Z -Current meory usage: 28.31 
2025-12-29T07:42:39.483Z -Current meory usage: 28.36 
2025-12-29T07:42:42.483Z -Current meory usage: 28.32 
2025-12-29T07:42:45.491Z -Current meory usage: 28.61 
2025-12-29T07:42:48.506Z -Current meory usage: 28.55 
2025-12-29T07:42:51.511Z -Current meory usage: 28.66 
2025-12-29T07:42:54.517Z -Current meory usage: 28.67 
2025-12-29T07:42:57.525Z -Current meory usage: 28.64 
2025-12-29T07:43:00.536Z -Current meory usage: 28.51 
